lme,spatialstrat,temporalstrat,year,age,psc_n,samples_n,reporting_group,sector,mean,sd,lower,median,upper,shrink,notes
Bering Sea,Cluster 4,late,2017,NA,19078,83,E GOA/PNW,NA,0.168,0.03,0.113,0.166,0.23,1,
Bering Sea,all,all,2013,NA,,,E GOA/PNW,NA,0.1475,0.0065,0.1351,0.1474,0.1604,1.00,
Bering Sea,all,early,2013,NA,,,E GOA/PNW,NA,0.2495,0.0139,0.2228,0.2494,0.2772,1.00,weeks 24-29
Bering Sea,all,middle,2013,NA,,,E GOA/PNW,NA,0.1097,0.0093,0.0921,0.1095,0.1284,1.00,weeks 30-34
Bering Sea,all,late,2013,NA,,,E GOA/PNW,NA,0.0943,0.0103,0.0750,0.0939,0.1154,1.00,weeks 35-43
Bering Sea,NMFS 509,all,2013,NA,,,E GOA/PNW,NA,0.2618,0.0144,0.2336,0.2618,0.2901,1.00,
Bering Sea,NMFS 509,early,2013,NA,,,E GOA/PNW,NA,0.3148,0.0188,0.279,0.3146,0.3522,1.00,weeks 24-29
Bering Sea,NMFS 509,middle,2013,NA,,,E GOA/PNW,NA,0.1813,0.0210,0.1414,0.1808,0.2232,1.00,weeks 30-34
Bering Sea,NMFS 517,early,2013,NA,,,E GOA/PNW,NA,0.1597,0.0230,0.1176,0.1590,0.2077,1.00,weeks 24-29
Bering Sea,NMFS 517,middle,2013,NA,,,E GOA/PNW,NA,0.0943,0.0107,0.0740,0.0939,0.1159,1.00,weeks 30-34
Bering Sea,NMFS 517,late,2013,NA,,,E GOA/PNW,NA,0.0828,0.0150,0.0556,0.0822,0.1146,1.00,weeks 35-43
Bering Sea,NMFS 521,early,2013,NA,,,E GOA/PNW,NA,0.0444,0.0235,0.0101,0.0407,0.1001,1.00,weeks 24-29
Bering Sea,NMFS 521,middle,2013,NA,,,E GOA/PNW,NA,0.0320,0.0178,0.0060,0.0291,0.0740,1.00,weeks 30-34
Bering Sea,NMFS 521,late,2013,NA,,,E GOA/PNW,NA,0.1050,0.0145,0.0780,0.1045,0.1348,1.00,weeks 35-43
Bering Sea,Eastern,all,2013,NA,,,E GOA/PNW,NA,0.1025,0.0082,0.0869,0.1023,0.1191,1.00,"NMFS 513, 517, 519"
Bering Sea,Western,all,2013,NA,,,E GOA/PNW,NA,0.0842,0.0114,0.0631,0.0838,0.1075,1.00,"NMFS 521, 523, 524"
GOA,all,all,2014,NA,252,,SW Alaska,NA,0.0115,0.0141,0.0000,0.0063,0.0495,1.03,
Bering Sea,all,all,2014,NA,1741,,E GOA/PNW,NA,0.2362,0.0117,0.2137,0.2362,0.2596,1.00,
Bering Sea,all,early,2014,NA,249,,E GOA/PNW,NA,0.1608,0.0268,0.1110,0.1598,0.2149,1.00,
Bering Sea,all,middle,2014,NA,957,,E GOA/PNW,NA,0.2383,0.0154,0.2090,0.2381,0.269,1.00,
Bering Sea,all,late,2014,NA,535,,E GOA/PNW,NA,0.2544,0.0219,0.2127,0.2538,0.2983,1.00,
Bering Sea,Eastern,all,2017,NA,406244,1783,Up/Mid Yukon,NA,0.066,0.008,0.051,0.066,0.082,1,
Bering Sea,Western,all,2017,NA,58654,281,Up/Mid Yukon,NA,0.024,0.012,0.002,0.023,0.051,1,"NMFS 521, 523, 524"
Bering Sea,NMFS 509,early-mid,2014,NA,90,,E GOA/PNW,NA,0.2216,0.0508,0.1291,0.2194,0.3269,1.00,
Bering Sea,NMFS 517,early-mid,2014,NA,784,,E GOA/PNW,NA,0.2364,0.0173,0.2034,0.2362,0.2712,1.00,
Bering Sea,NMFS 517,late,2014,NA,252,,E GOA/PNW,NA,0.3697,0.0362,0.2998,0.3693,0.4417,1.01,
Bering Sea,NMFS 521,early-mid,2014,NA,295,,E GOA/PNW,NA,0.1966,0.0261,0.1477,0.1960,0.2494,1.00,
Bering Sea,NMFS 521,late,2014,NA,221,,E GOA/PNW,NA,0.1747,0.0288,0.1218,0.1735,0.2343,1.00,
Bering Sea,Cluster 2,all,2015,NA,,381,E GOA/PNW,NA,0.424,0.028,0.370,0.423,0.479,1.00,
Bering Sea,Cluster 3,all,2015,NA,,387,E GOA/PNW,NA,0.368,0.027,0.316,0.368,0.422,1.00,
Bering Sea,Cluster 4,all,2015,NA,,387,E GOA/PNW,NA,0.115,0.019,0.080,0.115,0.155,1.00,
Bering Sea,all,all,2013,NA,,,NE Asia,NA,0.4489,0.0101,0.4292,0.4489,0.4686,1.00,
Bering Sea,all,early,2013,NA,,,NE Asia,NA,0.2558,0.0163,0.2245,0.2556,0.2885,1.00,weeks 24-29
Bering Sea,all,middle,2013,NA,,,NE Asia,NA,0.5026,0.0161,0.4710,0.5026,0.5341,1.00,weeks 30-34
Bering Sea,all,late,2013,NA,,,NE Asia,NA,0.5513,0.0180,0.5161,0.5513,0.5862,1.00,weeks 35-43
Bering Sea,NMFS 509,all,2013,NA,,,NE Asia,NA,0.3324,0.0172,0.2990,0.3324,0.3665,1.00,
Bering Sea,NMFS 509,early,2013,NA,,,NE Asia,NA,0.2523,0.0199,0.2136,0.2521,0.2919,1.00,weeks 24-29
Bering Sea,NMFS 509,middle,2013,NA,,,NE Asia,NA,0.4486,0.0288,0.3933,0.4486,0.5059,1.00,weeks 30-34
Bering Sea,NMFS 517,early,2013,NA,,,NE Asia,NA,0.2675,0.0325,0.2057,0.2668,0.3332,1.00,weeks 24-29
Bering Sea,NMFS 517,middle,2013,NA,,,NE Asia,NA,0.5313,0.0202,0.4919,0.5312,0.5706,1.00,weeks 30-34
Bering Sea,NMFS 517,late,2013,NA,,,NE Asia,NA,0.6512,0.0270,0.5973,0.6513,0.7039,1.00,weeks 35-43
Bering Sea,NMFS 521,early,2013,NA,,,NE Asia,NA,0.1819,0.0458,0.1001,0.1794,0.2797,1.00,weeks 24-29
Bering Sea,NMFS 521,middle,2013,NA,,,NE Asia,NA,0.3878,0.0516,0.2882,0.3873,0.4904,1.00,weeks 30-34
Bering Sea,NMFS 521,late,2013,NA,,,NE Asia,NA,0.4781,0.0239,0.4310,0.4780,0.5256,1.00,weeks 35-43
Bering Sea,Eastern,all,2013,NA,,,NE Asia,NA,0.5163,0.015,0.4869,0.5163,0.5454,1.00,"NMFS 513, 517, 519"
Bering Sea,Western,all,2013,NA,,,NE Asia,NA,0.4399,0.0203,0.4002,0.4398,0.4794,1.00,"NMFS 521, 523, 524"
GOA,all,all,2014,NA,252,,Up/Mid Yukon,NA,0.0009,0.0021,0.0000,0.0001,0.0070,1.00,
Bering Sea,all,all,2014,NA,1741,,NE Asia,NA,0.3742,0.0148,0.3452,0.3742,0.4034,1.00,
Bering Sea,all,early,2014,NA,249,,NE Asia,NA,0.3081,0.0366,0.2392,0.3073,0.3813,1.00,
Bering Sea,all,middle,2014,NA,957,,NE Asia,NA,0.3897,0.0201,0.3509,0.3895,0.4291,1.00,
Bering Sea,all,late,2014,NA,535,,NE Asia,NA,0.3711,0.0264,0.3201,0.3710,0.4232,1.00,
Bering Sea,Eastern,all,2017,NA,406244,1783,Western AK,NA,0.152,0.012,0.129,0.152,0.177,1,
Bering Sea,Western,all,2017,NA,58654,281,Western AK,NA,0.101,0.026,0.054,0.099,0.156,1,"NMFS 521, 523, 524"
Bering Sea,NMFS 509,early-mid,2014,NA,90,,NE Asia,NA,0.2587,0.0589,0.1507,0.2563,0.3807,1.00,
Bering Sea,NMFS 517,early-mid,2014,NA,784,,NE Asia,NA,0.3912,0.0226,0.3475,0.3911,0.4357,1.00,
Bering Sea,NMFS 517,late,2014,NA,252,,NE Asia,NA,0.3408,0.0391,0.2657,0.3401,0.4191,1.01,
Bering Sea,NMFS 521,early-mid,2014,NA,295,,NE Asia,NA,0.3431,0.0351,0.2750,0.3425,0.4129,1.00,
Bering Sea,NMFS 521,late,2014,NA,221,,NE Asia,NA,0.3786,0.0390,0.3029,0.3782,0.4564,1.00,
GOA,all,all,2015,NA,1823,131,E GOA/PNW,NA,0.882,0.032,0.814,0.884,0.937,1.00,
Bering Sea,all,A season,2015,NA,4647,142,NE Asia,NA,0.410,0.050,0.314,0.409,0.506,1.00,
Bering Sea,all,B season,2015,NA,232039,1836,NE Asia,NA,0.175,0.012,0.152,0.175,0.198,1.00,
Bering Sea,all,early,2015,NA,19138,162,NE Asia,NA,0.159,0.036,0.094,0.158,0.233,1.00,
Bering Sea,all,middle,2015,NA,122880,959,NE Asia,NA,0.175,0.017,0.144,0.175,0.209,1.00,
Bering Sea,all,late,2015,NA,90021,715,NE Asia,NA,0.171,0.019,0.136,0.171,0.209,1.00,
Bering Sea,NMFS 517,all,2015,NA,172641,1362,NE Asia,NA,0.136,0.013,0.112,0.135,0.161,1.00,
Bering Sea,NMFS 517,early,2015,NA,8388,71,NE Asia,NA,0.098,0.044,0.028,0.093,0.197,1.00,
Bering Sea,NMFS 517,middle,2015,NA,90438,698,NE Asia,NA,0.137,0.018,0.103,0.136,0.173,1.00,
Bering Sea,NMFS 517,late,2015,NA,73815,593,NE Asia,NA,0.123,0.018,0.089,0.123,0.160,1.00,
Bering Sea,NMFS 521,all,2015,NA,54442,423,NE Asia,NA,0.297,0.027,0.245,0.296,0.351,1.00,
Bering Sea,NMFS 521,early,2015,NA,9619,81,NE Asia,NA,0.171,0.053,0.077,0.168,0.285,1.00,
Bering Sea,NMFS 521,middle,2015,NA,30340,235,NE Asia,NA,0.278,0.037,0.208,0.277,0.352,1.00,
Bering Sea,NMFS 521,late,2015,NA,14483,107,NE Asia,NA,0.378,0.057,0.270,0.377,0.491,1.00,
Bering Sea,Eastern,all,2016,NA,289278,2332,E GOA/PNW,NA,0.350,0.011,0.328,0.350,0.371,1.00,"NMFS 509, 513, 516, 517, 519"
Bering Sea,Western,all,2014,NA,580,,Western AK,NA,0.1101,0.0172,0.0784,0.1095,0.1457,1.00,"NMFS 521, 523, 524"
Bering Sea,Cluster 1,all,2015,NA,,1162,NE Asia,NA,0.113,0.013,0.089,0.112,0.138,1.00,
Bering Sea,Cluster 2,all,2015,NA,,381,NE Asia,NA,0.310,0.030,0.252,0.309,0.370,1.00,
Bering Sea,Cluster 3,all,2015,NA,,387,NE Asia,NA,0.273,0.029,0.218,0.272,0.330,1.00,
Bering Sea,Cluster 4,all,2015,NA,,387,NE Asia,NA,0.285,0.029,0.231,0.285,0.343,1.00,
Bering Sea,Cluster 1,early,2015,NA,25417,213,NE Asia,NA,0.180,0.032,0.120,0.178,0.246,1.00,
Bering Sea,Cluster 1,late,2015,NA,118231,949,NE Asia,NA,0.100,0.014,0.075,0.100,0.128,1.00,
Bering Sea,Cluster 2,early,2015,NA,5712,186,Western AK,NA,0.142,0.031,0.085,0.141,0.207,1.00,
Bering Sea,Cluster 2,late,2015,NA,8701,195,SW Alaska,NA,0.005,0.008,0.000,0.001,0.029,1.00,
Bering Sea,Cluster 2,early,2016,NA,13045,185,E GOA/PNW,NA,0.232,0.034,0.169,0.231,0.302,1.00,
Bering Sea,Cluster 3,late,2015,NA,24251,191,NE Asia,NA,0.211,0.039,0.140,0.210,0.292,1.01,
Bering Sea,Cluster 2,early,2016,NA,13045,185,NE Asia,NA,0.326,0.045,0.240,0.325,0.416,1.00,
Bering Sea,Cluster 4,late,2015,NA,14343,190,NE Asia,NA,0.389,0.045,0.304,0.388,0.479,1.00,
Bering Sea,Cluster 1 (ADFG 655430),Wk 27-32,2015,NA,,118,NE Asia,NA,0.191,0.048,0.104,0.188,0.291,1.00,
Bering Sea,Cluster 1 (ADFG 655430),Wk 33,2015,NA,,200,NE Asia,NA,0.068,0.025,0.026,0.066,0.122,1.00,
Bering Sea,Cluster 1 (ADFG 655430),Wk 34-36,2015,NA,,117,NE Asia,NA,0.102,0.042,0.035,0.097,0.196,1.00,
Bering Sea,Cluster 1 (ADFG 655430),Wk 37-40,2015,NA,,115,NE Asia,NA,0.134,0.046,0.049,0.131,0.231,1.00,
Bering Sea,Cluster 2 (ADFG 675500),Wk 38-39,2015,NA,,143,NE Asia,NA,0.147,0.038,0.079,0.145,0.225,1.00,
