RepGroup,SubGroup,GenePop,Location,NOAA_repunit
EastofKodiak,,CMSALM89,SalmonR,GOA/PNW
EastofKodiak,,CMSEDG89,Sedgewick,GOA/PNW
EastofKodiak,,CMSUPR89,Surprise,GOA/PNW
EastofKodiak,,CMKITA06,KitasooCk,GOA/PNW
EastofKodiak,,CMKITIM06,KitimatR,GOA/PNW
EastofKodiak,,CMSNOOT06,SnootliCk,GOA/PNW
EastofKodiak,,CMWARC06,WestArmCk,GOA/PNW
EastofKodiak,,CMBIGQU06,BigQualicumR,GOA/PNW
EastofKodiak,,CMGOLD06,GoldstreamR,GOA/PNW
EastofKodiak,,CMLQUA06,LittleQualicumR,GOA/PNW
EastofKodiak,,CMPUNTL06,PuntledgeR,GOA/PNW
EastofKodiak,,CMCONU06,ConumaR,GOA/PNW
EastofKodiak,,CMNAHM06,NahmintR,GOA/PNW
EastofKodiak,,CMNITI06,NitinatR,GOA/PNW
EastofKodiak,,CMSARI06,SaritaR,GOA/PNW
EastofKodiak,,CMSOOK06,SookeR,GOA/PNW
EastofKodiak,,CMSUGS06,SugsawR,GOA/PNW
EastofKodiak,,CMNIMP06,NimpkishR,GOA/PNW
EastofKodiak,,CMALOU06,AloutteR,GOA/PNW
EastofKodiak,,CMINCH06,InchCk,GOA/PNW
EastofKodiak,,CMNORR06,NorrishCk,GOA/PNW
EastofKodiak,,CMWEAV06,WeaverCk,GOA/PNW
EastofKodiak,,CMSALM04S,SalmonCkSum,GOA/PNW
EastofKodiak,,CMLSKA98F,LowerSkagitR,GOA/PNW
EastofKodiak,,CMSKYK94F,SkykomishRF,GOA/PNW
EastofKodiak,,CMSNOQ96,SnoqualmieR,GOA/PNW
EastofKodiak,,CMUSAU94F,UpperSaukR,GOA/PNW
EastofKodiak,,CMELWH04UW,ElwhaRd,GOA/PNW
EastofKodiak,,CMDIRU02,DiruCkTribal,GOA/PNW
EastofKodiak,,CMMILCR94,MillCkF,GOA/PNW
EastofKodiak,,CMSHER94F,SherwoodCkF,GOA/PNW
EastofKodiak,,CMSHER94S,SherwoodCkSum,GOA/PNW
EastofKodiak,,CMBMI03F,BigMissionCk,GOA/PNW
EastofKodiak,,CMDEW98F,DewattoRF,GOA/PNW
EastofKodiak,,CMDOS03S,DosewallipsRSum,GOA/PNW
EastofKodiak,,CMHAMM05,HammaHammaR,GOA/PNW
EastofKodiak,,CMHAM03S,HammaHammaR,GOA/PNW
EastofKodiak,,CMLIL06F,LilliwaupRSumh,GOA/PNW
EastofKodiak,,CMLIL01S,LilliwaupRF,GOA/PNW
EastofKodiak,,CMQUIL97,QuilceneSum,GOA/PNW
EastofKodiak,,CMUNI04S,UnionRSum,GOA/PNW
EastofKodiak,,CMI205B00F,I-205SeepsF,GOA/PNW
EastofKodiak,,CMJIM01S,JimmyCkSum,GOA/PNW
EastofKodiak,,CMJOH94S,JohnsCkSum,GOA/PNW
EastofKodiak,,CMNISQ04UW,NisquallyRHatch,GOA/PNW
EastofKodiak,,CMKAL03W,KalamaCkwinter,GOA/PNW
EastofKodiak,,CMNCR98F,NorthCkF,GOA/PNW
EastofKodiak,,CMGRA01F,GraysRF,GOA/PNW
EastofKodiak,,CMLCR94F,LittleCkF,GOA/PNW
EastofKodiak,,CMSATS98,SatsopR,GOA/PNW
EastofKodiak,,CMSKA02F,SkamokawaCkF,GOA/PNW
